Starting gRPC export scanner (v2) for 'Chuyện Công Chúa'...
Log will be saved to '/home/ws/grpc_exports.log'
[+] Found libgrpc_csharp_ext.so at: 0x6b64294000
    - function: _ZN9grpc_core12BdpEstimatorC1EPKc (Address: 0x6b64550eb8)
    - function: _ZNKSt6__ndk18numpunctIwE12do_falsenameEv (Address: 0x6b6472ac88)
    - function: _Z37grpc_gcp_rpc_protocol_versions_decodeRK10grpc_sliceP29_grpc_gcp_RpcProtocolVersions (Address: 0x6b64569920)
    - function: _ZNSt6__ndk110__function6__funcIZN9grpc_core13ClientChannel26ConnectivityWatcherRemoverC1EPS3_PNS2_38AsyncConnectivityStateWatcherInterfaceEEUlvE_NS_9allocatorIS8_EEFvvEE7destroyEv (Address: 0x6b643f59cc)
    - variable: grpc_tcp_trace (Address: 0x6b64924c70)
    - function: _ZNK9grpc_core13ClientChannel16LoadBalancedCall8Metadata17IteratorHandleGetEl (Address: 0x6b643f6210)
    - variable: _ZNSt6__ndk17num_getIcNS_19istreambuf_iteratorIcNS_11char_traitsIcEEEEE2idE (Address: 0x6b64928bf8)
    - function: _ZN9grpc_core9XdsClient12ChannelState12AdsCallState13ResourceStateD2Ev (Address: 0x6b6451e730)
    - function: _ZN3tsi18SslSessionLRUCache9PushFrontEPNS0_4NodeE (Address: 0x6b64553074)
    - function: _ZNKSt6__ndk114__codecvt_utf8IDsE16do_always_noconvEv (Address: 0x6b64728d10)
    - function: _ZNSt6__ndk15dequeIPKN4absl12lts_2021032413time_internal4cctz9time_zone4ImplENS_9allocatorIS8_EEE19__add_back_capacityEv (Address: 0x6b645f8ff0)
    - function: _ZNK9grpc_core18XdsHttpFaultFilter28GenerateFilterConfigOverrideE11upb_strviewP9upb_arena (Address: 0x6b64558ba4)
    - variable: udpa_annotations_migrate_proto_upbdefinit (Address: 0x6b649214e8)
    - variable: _ZTIN9grpc_core8channelz10SocketNode8SecurityE (Address: 0x6b648f4050)
    - function: _ZN9grpc_core6Server14SetupTransportEP14grpc_transportP12grpc_pollsetPK17grpc_channel_argsRKNS_13RefCountedPtrINS_8channelz10SocketNodeEEEP18grpc_resource_user (Address: 0x6b6444e87c)
    - function: _ZN4absl12lts_2021032423inlined_vector_internal7StorageIN9grpc_core13ServerAddressELm1ENSt6__ndk19allocatorIS4_EEE15EmplaceBackSlowIJPA128_cRjDnEEERS4_DpOT_ (Address: 0x6b644a99a8)
    - function: upb_arena_free (Address: 0x6b645c0454)
    - function: _ZNSt6__ndk112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6insertEmPKc (Address: 0x6b647336a8)
    - variable: _ZTI20grpc_ssl_credentials (Address: 0x6b648f3bf0)
    - function: _ZN4absl12lts_2021032419str_format_internal16ConvertFloatImplEfRKNS1_24FormatConversionSpecImplEPNS1_14FormatSinkImplE (Address: 0x6b645d5588)
    - function: _ZNKSt6__ndk117moneypunct_bynameIcLb0EE16do_positive_signEv (Address: 0x6b647117f0)
    - function: _Z23grpc_timer_consume_kickv (Address: 0x6b6442d618)
    - function: upb_fielddef_defaultstr (Address: 0x6b645b7644)
    - variable: envoy_config_listener_v3_Filter_msginit (Address: 0x6b648fc0a8)
    - function: upb_inttable_removeptr (Address: 0x6b645be0d8)
    - function: _Z17grpc_pollset_kickP12grpc_pollsetP19grpc_pollset_worker (Address: 0x6b6452cdd8)
    - function: _Z25grpc_httpcli_set_overridePFiPK20grpc_httpcli_requestlP12grpc_closureP18grpc_http_responseEPFiS1_PKcmlS3_S5_E (Address: 0x6b64529130)
    - function: _ZNKSt6__ndk17num_getIwNS_19istreambuf_iteratorIwNS_11char_traitsIwEEEEE17__do_get_unsignedImEES4_S4_S4_RNS_8ios_baseERjRT_ (Address: 0x6b64702b80)
    - function: _Z36grpc_channel_stack_builder_move_nextP35grpc_channel_stack_builder_iterator (Address: 0x6b644199f8)
    - function: _ZNSt6__ndk19__num_putIwE23__widen_and_group_floatEPcS2_S2_PwRS3_S4_RKNS_6localeE (Address: 0x6b64709318)
    - function: _tr_flush_bits (Address: 0x6b64584b64)
    - function: _ZNSt6__ndk19__num_putIcE21__widen_and_group_intEPcS2_S2_S2_RS2_S3_RKNS_6localeE (Address: 0x6b64705f44)
    - function: _ZN3re26Regexp6WalkerIiE4CopyEi (Address: 0x6b64591d94)
    - variable: _ZTSN9grpc_core18ChildPolicyHandlerE (Address: 0x6b64774d30)
    - function: _ZN20grpc_ssl_credentialsC1EPKcP26grpc_ssl_pem_key_cert_pairPK28grpc_ssl_verify_peer_options (Address: 0x6b644356d0)
    - function: _ZNKSt6__ndk17num_getIcNS_19istreambuf_iteratorIcNS_11char_traitsIcEEEEE17__do_get_unsignedIjEES4_S4_S4_RNS_8ios_baseERjRT_ (Address: 0x6b646feb28)
    - function: grpc_external_account_credentials_create (Address: 0x6b6455eaf8)
    - function: _ZNSt6__ndk112basic_stringIwNS_11char_traitsIwEENS_9allocatorIwEEE6assignERKS5_mm (Address: 0x6b647375e4)
    - function: _ZNK9grpc_core6XdsApi9LdsUpdate21HttpConnectionManager8ToStringEv (Address: 0x6b644e68d0)
    - function: _ZNSt6__ndk114__codecvt_utf8IDiED0Ev (Address: 0x6b6472f698)
    - function: _ZNKSt6__ndk119__shared_weak_count13__get_deleterERKSt9type_info (Address: 0x6b6473108c)
    - variable: envoy_config_core_v3_AsyncDataSource_msginit (Address: 0x6b648fb7a8)
    - function: _ZNSt6__ndk113basic_ostreamIcNS_11char_traitsIcEEElsEx (Address: 0x6b646f9390)
    - function: _ZN9grpc_core19ConnectivityWatcher25OnConnectivityStateChangeE23grpc_connectivity_stateRKN4absl12lts_202103246StatusE (Address: 0x6b644c27cc)
    - function: _ZN9grpc_core6XdsApi9LdsUpdate21HttpConnectionManagerC2ERKS2_ (Address: 0x6b64519fc4)
    - function: grpcsharp_server_cancel_all_calls (Address: 0x6b643e8260)
    - function: _Z29grpc_metadata_batch_link_headP19grpc_metadata_batchP18grpc_linked_mdelem (Address: 0x6b64459694)
    - function: _ZN9grpc_core9XdsClient12ChannelState17UnsubscribeLockedERKNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEESA_b (Address: 0x6b64509a48)
    - function: _ZNSt6__ndk115__codecvt_utf16IDiLb0EED0Ev (Address: 0x6b6472f74c)
    - function: upb_strtable_insert3 (Address: 0x6b645bd008)
    - function: _ZN9grpc_core11FilterChain16FilterChainMatchD2Ev (Address: 0x6b644e863c)
    - function: _ZN9grpc_core18ChildPolicyHandler17CreateChildPolicyEPKcRK17grpc_channel_args (Address: 0x6b643fb820)
    - variable: _ZTSNSt6__ndk112codecvt_baseE (Address: 0x6b64805a80)
    - function: _Z25grpc_chttp2_cancel_streamP21grpc_chttp2_transportP18grpc_chttp2_streamP10grpc_error (Address: 0x6b644cb484)
    - function: _ZNSt6__ndk114__codecvt_utf8IwED0Ev (Address: 0x6b6472f650)
    - function: _ZNKSt6__ndk110__time_put8__do_putEPcRS1_PK2tmcc (Address: 0x6b6470fe44)
    - variable: _ZTIN9grpc_core10RefCountedINS_6XdsApi9EdsUpdate10DropConfigENS_19PolymorphicRefCountELNS_13UnrefBehaviorE0EEE (Address: 0x6b648f69c0)
    - variable: _ZTINSt6__ndk17codecvtIDic9mbstate_tEE (Address: 0x6b64914050)
    - variable: google_protobuf_OneofDescriptorProto_msginit (Address: 0x6b649024b8)
    - function: _ZN9grpc_core12FakeResolverC2ENS_12ResolverArgsE (Address: 0x6b644a9ba4)
    - variable: _ZTVN9grpc_core17HealthCheckClientE (Address: 0x6b648f4a50)
    - function: _ZN3re23RE23Arg10parse_nullEPKcmPv (Address: 0x6b6458a988)
    - function: _ZN9grpc_core17GrpcLbClientStats14AddCallDroppedEPKc (Address: 0x6b64473c00)
    - function: _ZNKSt6__ndk112ctype_bynameIwE8do_widenEc (Address: 0x6b64726a5c)
    - function: _ZNSt6__ndk16vectorIN4absl12lts_2021032411string_viewENS_9allocatorIS3_EEE24__emplace_back_slow_pathIJRNS_12basic_stringIcNS_11char_traitsIcEENS4_IcEEEEEEEvDpOT_ (Address: 0x6b645757ec)
    - variable: _ZTVN9grpc_core6chttp220TransportFlowControlE (Address: 0x6b648f8b50)
    - function: _ZNSt6__ndk113basic_istreamIwNS_11char_traitsIwEEE7putbackEw (Address: 0x6b646f8498)
    - variable: _ZTSNSt6__ndk111__money_getIwEE (Address: 0x6b648062a0)
    - function: upb_array_get (Address: 0x6b645c14fc)
    - function: _ZN4absl12lts_2021032413time_internal4cctz14ZoneInfoSourceD0Ev (Address: 0x6b64600c08)
    - function: _ZN9grpc_core22XdsCertificateProvider27GetRequireClientCertificateERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (Address: 0x6b645070fc)
    - function: _ZN9grpc_core9XdsClient12ChannelState12LrsCallStateD1Ev (Address: 0x6b64512408)
    - function: _ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE4setgEPwS4_S4_ (Address: 0x6b646f2b64)
    - variable: envoy_config_cluster_v3_Cluster_LeastRequestLbConfig_msginit (Address: 0x6b648fb248)
    - function: _ZN4absl12lts_2021032420UnauthenticatedErrorENS0_11string_viewE (Address: 0x6b645c3320)
    - function: _ZN9grpc_core9XdsClient12ChannelState12LrsCallState8Reporter16SendReportLockedEv (Address: 0x6b64510fd4)
    - function: _ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE6xsputnEPKwl (Address: 0x6b646f2ce0)
    - function: _ZN9grpc_core18XdsSecurityEnabledEv (Address: 0x6b644e2eec)
